id,txtName,txtCode,booPrefer,numNote,txtSpelling,numOrdering,numSymForms,numHalfStepsInRow,txtNumIntervalForm,txtAltNames
1,Major Second Interval,n2,0,2,2,512,0,1,2,Whole-tone
2,Major Third,n3,0,2,3,128,0,1,4,
3,Perfect Fourth Interval,P4,0,2,4,64,0,1,5,Honchoshi
4,Perfect Fifth,P5,1,2,5,16,0,1,7,Niagari Scale
5,Major Sixth Interval,n6,1,2,6,4,0,1,9,
6,Major Seventh Interval,n7,1,2,7,1,0,2,11,
7,Minor Second Interval,d2,0,2,b2,1024,0,2,1,Semitone
8,Minor Third,d3,0,2,b3,256,0,1,3,
9,Tritone,T,1,2,b5,32,1,1,6,
10,Minor Sixth Interval,d6,1,2,b6,8,0,1,8,
11,Minor Seventh Interval,d7,1,2,b7,2,0,1,10,Warao Diatonic
12,Sus Two Chord,sus2,0,3,"2,5",528,0,1,2 5,Quartal Trichord
13,Major Chord,M,1,3,"3,5",144,0,1,4 3,"Raga Malasri, Peruvian Tritonic One"
14,Major Flat Five,Mb5,1,3,"3,b5",160,0,1,4 2,
15,Aug Chord,+,1,3,"3,b6",136,1,1,4 4,"Semitone Scale, Four Semitone, Major Sharp Five"
16,Sus Four,sus4,1,3,"4,5",80,0,1,5 2,Raga Sarvasri
17,Sansagari,Sans,0,3,"4,b7",66,0,1,5 5,
18,Minor Chord,-,1,3,"b3,5",272,0,1,3 4,Peruvian Tritonic Two
19,Peruvian Tritonic,Peru3,0,3,"b3,6",260,0,1,3 6,Ute Tritonic
20,Dim Chord,o,1,3,"b3,b5",288,0,1,3 3,
21,Ute Tritonic,Ute,1,3,"b3,b7",258,0,1,3 7,
22,Raga Ongkari,ROng,1,3,"b5,5",48,0,2,6 1,Sharp Eleven Chord
23,Two,2,1,4,"2,3,5",656,0,1,2 2 3,"Eskimo Tetratonic, Add Two, Sus Two Add Three, Add Nine Omit Three"
24,Genus Primum,GP,0,4,"2,4,5",592,0,1,2 3 2,Sus Two Four
25,Raga Bhavani,RBha,0,4,"2,4,6",580,0,1,2 3 4,
26,Seventh Sus Two,7sus2,0,4,"2,5,b7",530,0,1,2 5 3,
27,Minor Two,-2,1,4,"2,b3,5",784,0,2,2 1 4,Minor Add Nine
28,Warao Tetratonic,WTet,1,4,"2,b3,b7",770,0,2,2 1 7,
29,Messiaen Six,M6,0,4,"2,b5,b6",552,2,1,2 4 2,
30,Four,4,1,4,"3,4,5",208,0,2,4 1 2,Add 4
31,Six Chord,6,0,4,"3,5,6",148,0,1,4 3 2,German Six
32,Major Seven,M7,1,4,"3,5,7",145,0,2,4 3 4,
33,Seven,7,1,4,"3,5,b7",146,0,1,4 3 3,"Raga Mahathi, Antara Kaishiaki"
34,Raga Nigamagamini,RNig,1,4,"3,b5,7",161,0,2,4 2 5,Major Seven Flat Five
35,Seven Flat Five,7b5,1,4,"3,b5,b7",162,2,1,4 2 4,Messiaen Truncated Mode 6 Inv.
36,Aug Seven,+7,1,4,"3,b6,b7",138,0,1,4 4 2,Seven Sharp Five Chord
37,Major Seven Sharp Five,M7#5,1,4,"3,b6,7",137,0,2,4 4 3,
39,Seven Sus Four,7sus4,1,4,"4,5,b7",82,0,1,5 2 3,Genus Primum Inverse
